Order Month,Profit Margin,Actual Sales,Predicted Sales
11,0.16,261.96,229.9020186953726
11,0.3,731.94,232.20868981731252
6,0.47,14.62,229.32130666079098
10,-0.4,957.5775,219.53766601812316
10,0.1125,22.368,227.98172994665325
6,0.29,48.86,226.35558664686823
6,0.27,7.28,226.02606220087682
6,0.0999999999999999,907.152,223.22510440994975
6,0.3124999999999999,18.504,226.72630164860857
6,0.3,114.9,226.52034886986394
6,0.05,1706.184,222.4012932949712
6,0.075,911.424,222.8131988524605
4,0.35,15.552,225.06882360586306
12,0.3249999999999999,407.976,233.7582635642915
11,-1.8,68.81,197.6086229882136
11,-1.5,2.544,202.55148967808486
11,0.02,665.88,227.59534757343266
5,0.18,55.5,223.4055340044257
8,0.29,8.56,228.63092302584766
8,0.075,213.48,225.08853523143992
8,0.325,22.72,229.20759080633263
12,0.2599999999999999,19.46,232.68730911481939
12,0.2599999999999999,60.34,232.68730911481939
7,-0.0142857142857142,71.372,222.4797757652028
9,0.2299999999999999,1044.63,228.78001787736312
1,0.3625,11.648,221.86177181613854
1,0.13,90.57,218.0310501314883
9,-0.54,3083.43,216.09332670669352
9,-0.7333333333333334,9.618,212.90792372877647
9,0.125,124.2,227.05001453590816
9,0.3375,3.264,230.55121177456698
9,0.1124999999999999,86.304,226.84406175716353
9,-0.8333333333333334,6.858,211.2603014988194
9,0.2249999999999999,15.76,228.69763676586527
10,0.3374999999999999,29.472,231.6888799640567
12,0.1124999999999999,1097.544,230.25706632563268
12,-0.775,190.92,215.63441903476348
12,0.3125,113.328,233.55231078554687
12,-0.088235294117647,532.3992,226.94970699638057
12,-0.0714285714285714,212.058,227.22661829553303
12,0.1125,371.168,230.25706632563268
9,0.1124999999999999,147.168,226.84406175716353
7,0.05,77.88,223.5389614844609
9,0.1,95.616,226.6381089784189
3,0.43,45.98,225.249253200339
3,0.47,17.46,225.90830209232183
10,0.04,211.96,226.78720382993436
6,0.11,45.0,223.38986663294546
6,0.2799999999999999,21.8,226.19082442387253
4,0.47,38.22,227.04597028181155
4,0.47,75.18,227.04597028181155
4,0.48,6.16,227.21073250480728
4,0.19,89.99,222.4326280379317
12,0.41,15.26,235.15874245975502
12,0.29,1029.95,233.1815957838065
6,0.25,208.56,225.69653775488538
6,0.48,32.4,229.4860688837867
6,0.0222222222222222,319.41,221.94362045331647
6,0.48,14.56,229.4860688837867
6,0.11,30.0,223.38986663294546
6,0.3374999999999999,48.48,227.13820720609783
6,0.5,1.68,229.81559332977812
11,0.44,13.98,234.51536093925245
11,0.3625,25.824,233.23845371103567
11,0.47,146.73,235.00964760823956
11,0.2799999999999999,79.76,231.87916537132108
4,-0.0714285714285714,213.115,218.1252727796153
12,0.1,1113.024,230.05111354688805
12,0.375,167.968,234.58207467927005
6,0.4700000000000001,75.88,229.32130666079098
9,0.375,4.616,231.1690701108009
9,0.4599999999999999,19.05,232.56954900626442
4,-0.1374999999999999,831.936,217.03666523482224
4,0.0125,97.04,219.50809857975787
4,-0.25,72.784,215.1830902261205
12,-1.5499999999999998,1.248,202.86534675259603
12,-0.6,9.708,218.5177579371884
12,0.1,27.24,230.05111354688805
11,-0.75,19.3,214.90865640276306
6,0.27,208.16,226.02606220087682
6,0.48,16.74,229.4860688837867
10,0.2799999999999999,14.9,230.74149718183136
10,0.29,21.39,230.9062594048271
9,0.3125,200.984,230.13930621707772
11,-0.2125,230.376,223.7646258887824
5,0.11,301.96,222.25219844345574
10,0.34,19.99,231.73007051980562
10,0.48,6.16,234.03674164174555
4,0.0875,158.368,220.7438152522257
9,0.3299999999999999,20.1,230.4276401073202
9,0.1124999999999999,73.584,226.84406175716353
9,0.4799999999999999,6.48,232.89907345225583
1,0.4799999999999999,12.96,223.79772793633813
1,0.3099999999999999,53.34,220.99677014541106
1,0.49,32.96,223.96249015933384
11,-0.6666666666666666,5.682,216.2816749277273
11,0.42,96.53,234.185836493261
6,0.35,51.312,227.3441599848425
9,0.29,77.88,229.76859121533738
8,0.35,64.624,229.6194963638219
8,-0.1125,95.976,221.99924355027036
8,-1.7,1.788,195.84324064970153
12,0.49,23.92,236.4768402437207
11,-0.1125,238.896,225.4122481187395
11,-0.0375,102.36,226.64796479120733
11,-0.7000000000000001,36.882,215.73246751774158
11,0.2375,74.112,231.17892592358933
11,0.075,27.992,228.50153979990904
11,0.325,3.304,232.62059537480178
10,0.2,339.96,229.4233993978657
12,0.2599999999999999,41.96,232.68730911481939
11,0.3,75.96,232.20868981731252
11,0.49,27.24,235.33917205423097
8,0.3625,40.096,229.82544914256655
8,0.35,4.72,229.6194963638219
8,0.3125,23.976,229.001638027588
8,0.3374999999999999,130.464,229.41354358507726
3,0.21,787.53,221.62448429443342
4,-0.7333333333333333,157.794,207.2195827813279
6,0.39,47.04,228.0032088768253
6,0.45,30.84,228.99178221479957
6,0.2799999999999999,226.56,226.19082442387253
6,0.45,115.02,228.99178221479957
6,0.29,68.04,226.35558664686823
12,-0.0142857142857142,600.558,228.16811671265137
9,-0.66,617.7,214.116180030745
11,-0.7666666666666667,2.388,214.6340526977702
11,0.125,243.992,229.3253509148876
11,-0.1124999999999999,81.424,225.4122481187395
11,0.1099999999999999,238.56,229.07820758039404
2,-0.2,59.97,213.73156496211962
2,0.375,78.304,223.2053927843729
2,0.325,21.456,222.38158166939434
10,0.48,20.04,234.03674164174555
10,0.47,35.44,233.87197941874985
10,0.3,11.52,231.0710216278228
10,0.49,4.02,234.20150386474126
10,0.35,76.176,231.89483274280133
10,0.28,65.88,230.74149718183136
10,0.48,43.12,234.03674164174555
9,0.125,82.8,227.05001453590816
9,0.27,8.82,229.43906676934594
9,0.47,10.86,232.73431122926013
9,0.48,143.7,232.89907345225583
12,0.26,839.43,232.68730911481939
9,0.03,671.93,225.48477341744893
10,0.1374999999999999,93.888,228.3936355041425
12,0.27,384.45,232.8520713378151
12,0.04,149.97,229.0625402089138
12,0.3,1951.84,233.34635800680223
12,0.47,171.55,236.14731579772928
